CCNum,First ,Last,Amount,MinUsualAmount,MaxUsualAmount,CustomerHomeCity,CustomerAge,CustomerGender,CustomerMaritalStatus,CustomerHasChildren
4883-5800-0000-0000,Charlotte,Taylor,$32.20 ,8,624,Farmers Branch,33,Female,Widowed,Yes
4978-5500-0000-0000,Lucas,Harris,$410.73 ,7,581,Plano,54,Female,Widowed,Yes
4203-0200-0000-0000,Oliver,Gonzalez,$605.19 ,8,646,Dallas,45,Male,Widowed,No
4277-3900-0000-0000,John,Jones,$392.77 ,7,502,Rockwall,39,Female,Widowed,No
4288-1800-0000-0000,Ava,Rodriguez,$238.37 ,4,356,Frisco,33,Male,Widowed,No
4121-1800-0000-0000,Amelia,Jones,$65.12 ,8,590,Arlington,75,Female,Divorced,No
4931-4000-0000-0000,John,Rodriguez,$46.99 ,8,600,Frisco,79,Female,Divorced,Yes
4407-3100-0000-0000,Oliver,Taylor,$180.93 ,5,367,Plano,61,Male,Divorced,Yes
4281-4400-0000-0000,Sophia,Davis,$62.00 ,7,541,Irving,73,Female,Divorced,No
4689-5000-0000-0000,Charlotte,Garcia,$43.87 ,11,771,Frisco,67,Female,Divorced,Yes
4267-1800-0000-0000,Lucas,Harris,$352.94 ,6,471,Rockwall,75,Male,Divorced,Yes
4488-4800-0000-0000,Ethan,Hernandez,$340.65 ,4,365,Frisco,70,Female,Divorced,Yes
4058-9600-0000-0000,Oliver,Martinez,$218.46 ,3,294,Irving,72,Male,Divorced,No
4785-2400-0000-0000,John,Hernandez,$308.50 ,9,638,Farmers Branch,61,Female,Divorced,No
4976-7800-0000-0000,Charlotte,Wilson,$535.02 ,7,583,Plano,77,Female,Divorced,Yes
4105-8300-0000-0000,Charlotte,Rodriguez,$33.24 ,9,723,Arlington,65,Male,Married,Yes
4102-9700-0000-0000,Lucas,Davis,$547.24 ,9,715,Addison,65,Male,Married,Yes
4748-2200-0000-0000,Isabella,Jones,$251.00 ,3,273,Frisco,72,Female,Married,No
4298-7900-0000-0000,John,Clark,$259.27 ,10,782,Rockwall,75,Female,Married,No
4829-6700-0000-0000,Benjamin,Clark,$61.03 ,5,422,Frisco,71,Female,Married,Yes
4915-0400-0000-0000,Elijah,Lee,$39.55 ,3,219,Irving,80,Female,Married,No
4588-5100-0000-0000,Olivia,Williams,$250.56 ,10,796,McKinney,79,Male,Married,Yes
4777-0700-0000-0000,Aiden,Martinez,$423.66 ,7,536,Irving,75,Male,Single,No
4261-7500-0000-0000,Lucas,Hernandez,$278.28 ,5,442,Dallas,72,Male,Single,Yes
4503-5800-0000-0000,Amelia,Perez,$469.76 ,10,782,Addison,80,Female,Single,No
4692-1300-0000-0000,Oliver,Jones,$640.77 ,9,722,McKinney,67,Male,Single,Yes
4531-7100-0000-0000,Alexander,Perez,$225.86 ,9,666,Arlington,69,Male,Single,Yes
4799-0200-0000-0000,Sophia,Garcia,$524.29 ,9,706,McKinney,75,Male,Single,No
4548-0200-0000-0000,Liam,Williams,$404.50 ,9,702,Addison,77,Male,Single,Yes
4910-8800-0000-0000,Harper,Thomas,$576.76 ,10,728,Plano,75,Female,Single,Yes
4648-8100-0000-0000,Isabella,Williams,$139.58 ,7,553,Farmers Branch,73,Male,Single,Yes
4633-8500-0000-0000,Oliver,Thomas,$603.23 ,9,729,Frisco,78,Female,Single,No
4868-2800-0000-0000,Oliver,Jones,$392.16 ,5,435,Addison,80,Male,Single,No
4520-7400-0000-0000,Harper,Perez,$378.23 ,8,620,Dallas,77,Female,Widowed,No
4139-8100-0000-0000,Liam,Thomas,$80.62 ,6,485,Dallas,78,Female,Widowed,Yes
4234-7100-0000-0000,Amelia,Anderson,$165.47 ,9,669,Addison,68,Female,Widowed,Yes
4676-8900-0000-0000,Michael,Perez,$115.26 ,11,817,Dallas,76,Male,Widowed,Yes
4988-6500-0000-0000,Harper,Smith,$170.09 ,9,719,Arlington,80,Female,Widowed,Yes
4542-2600-0000-0000,Lucas,Anderson,$280.49 ,10,787,Plano,78,Female,Widowed,No
4641-3200-0000-0000,Mia,Perez,$358.25 ,11,859,Arlington,78,Male,Widowed,No
4335-5900-0000-0000,Lucas,Smith,$603.82 ,10,755,Dallas,88,Male,Divorced,No
4952-8200-0000-0000,John,Williams,$164.17 ,8,598,Frisco,82,Male,Divorced,No
4671-7900-0000-0000,Aiden,Smith,$626.57 ,11,773,Rockwall,88,Female,Divorced,No
4160-5300-0000-0000,Lucas,Gonzalez,$292.50 ,5,353,Rockwall,101,Female,Divorced,No
4323-6600-0000-0000,Harper,Williams,$338.62 ,10,726,Plano,96,Female,Divorced,No
4116-5700-0000-0000,Harper,Thomas,$369.64 ,9,664,Rockwall,98,Male,Divorced,Yes
4756-5200-0000-0000,Elijah,Lewis,$96.04 ,2,142,Arlington,83,Male,Married,No
4082-1600-0000-0000,Jackson,Garcia,$163.44 ,11,842,Frisco,100,Male,Married,Yes
4613-8100-0000-0000,Amelia,Garcia,$85.25 ,6,438,Irving,97,Male,Married,No
4998-1000-0000-0000,Oliver,Smith,$230.55 ,7,495,Plano,98,Female,Married,No
4137-6800-0000-0000,Benjamin,Rodriguez,$310.14 ,10,784,Plano,84,Male,Married,No
4122-8800-0000-0000,Sophia,Wilson,$111.75 ,9,671,Frisco,98,Male,Married,Yes
4641-8100-0000-0000,Isabella,Lee,$404.37 ,9,655,Irving,98,Male,Married,Yes
4234-6600-0000-0000,Aiden,Martinez,$405.24 ,7,531,Addison,98,Female,Married,Yes
4709-7500-0000-0000,Lucas,Jones,$254.40 ,9,680,Rockwall,94,Female,Married,No
4199-0700-0000-0000,Logan,Hernandez,$524.56 ,8,613,Dallas,88,Male,Married,Yes
4110-5200-0000-0000,Ava,Williams,$100.73 ,7,519,Dallas,87,Female,Married,Yes
4930-7300-0000-0000,Michael,Martinez,$219.15 ,4,285,Farmers Branch,97,Female,Married,No
4309-6600-0000-0000,Ava,Garcia,$179.52 ,5,403,McKinney,89,Female,Single,Yes
4861-8200-0000-0000,Alexander,Thomas,$322.48 ,5,448,Addison,96,Male,Single,Yes
4385-9800-0000-0000,Mia,Wilson,$397.14 ,8,637,Dallas,98,Male,Single,Yes
4677-3000-0000-0000,Amelia,Clark,$99.35 ,10,721,Rockwall,100,Male,Single,Yes
4778-6200-0000-0000,Mia,Hernandez,$632.75 ,10,776,Plano,92,Female,Single,No
4061-7100-0000-0000,Isabella,Thomas,$120.34 ,6,420,McKinney,85,Female,Widowed,No
4988-0900-0000-0000,Elijah,Clark,$51.86 ,5,434,Arlington,86,Male,Widowed,No
4513-8400-0000-0000,Harper,Jones,$415.54 ,9,696,Irving,96,Female,Widowed,Yes
4347-5100-0000-0000,Lucas,Smith,$195.71 ,8,564,Irving,85,Male,Widowed,No
4921-5300-0000-0000,Alexander,Williams,$155.22 ,6,446,Farmers Branch,24,Female,Divorced,Yes
4611-8200-0000-0000,Alexander,Lee,$169.31 ,4,373,Farmers Branch,24,Female,Divorced,No
4217-2100-0000-0000,Logan,Wilson,$494.27 ,6,496,Frisco,20,Male,Divorced,Yes
4504-1400-0000-0000,Sophia,Williams,$209.60 ,10,730,Irving,21,Female,Divorced,No
4942-2000-0000-0000,Lucas,Anderson,$272.23 ,4,325,Arlington,22,Male,Married,Yes
4443-6700-0000-0000,Logan,Williams,$393.65 ,9,641,McKinney,24,Female,Married,No
4973-8400-0000-0000,Logan,Harris,$458.85 ,7,565,Rockwall,30,Female,Married,Yes
4811-7100-0000-0000,Sophia,Taylor,$61.66 ,5,400,Arlington,21,Female,Married,No
4256-7200-0000-0000,Aiden,Gonzalez,$603.35 ,11,811,Plano,22,Female,Married,No
4231-9900-0000-0000,Jackson,White,$38.55 ,5,415,Addison,22,Female,Married,Yes
4564-4500-0000-0000,Charlotte,Davis,$129.52 ,3,258,Plano,18,Male,Married,Yes
4752-1200-0000-0000,Lucas,Williams,$319.19 ,7,530,Farmers Branch,25,Male,Married,No
4603-4900-0000-0000,Mia,Smith,$106.18 ,7,548,Plano,18,Male,Married,No
4576-6800-0000-0000,Charlotte,Gonzalez,$255.61 ,8,610,Arlington,18,Male,Single,No
4993-9700-0000-0000,Elijah,Perez,$150.17 ,4,331,Rockwall,25,Female,Single,Yes
4657-5800-0000-0000,Charlotte,Thomas,$230.79 ,3,297,McKinney,18,Male,Single,No
4978-7900-0000-0000,Benjamin,Lee,$50.83 ,10,726,Plano,28,Male,Single,No
4413-5500-0000-0000,Logan,White,$420.06 ,10,765,McKinney,29,Female,Widowed,Yes
4607-7600-0000-0000,Logan,Martinez,$476.40 ,11,791,Farmers Branch,21,Female,Widowed,Yes
4717-0100-0000-0000,Harper,Martinez,$435.81 ,7,551,Farmers Branch,28,Female,Widowed,No
4910-7100-0000-0000,Oliver,Wilson,$149.70 ,9,729,Irving,19,Male,Widowed,Yes
4852-0900-0000-0000,Benjamin,Gonzalez,$311.76 ,6,482,Addison,27,Female,Widowed,Yes
4691-0300-0000-0000,Isabella,White,$338.06 ,5,417,Rockwall,20,Male,Widowed,Yes
9899-2492-8527-4810, Mia       , Knight,$116.69 ,6,490,Arlington,40,f,Divorced,Yes
4610-1300-0000-0000,Mia,Gonzalez,$268.16 ,6,465,Addison,31,Male,Divorced,No
4034-6000-0000-0000,Charlotte,Garcia,$490.19 ,9,703,Irving,44,Male,Divorced,Yes
4908-0100-0000-0000,Oliver,Lee,$315.24 ,5,449,Frisco,48,Female,Divorced,Yes
4888-1600-0000-0000,Olivia,Lee,$41.72 ,7,554,Arlington,57,Female,Divorced,Yes
4218-4200-0000-0000,John,Smith,$117.86 ,9,707,Rockwall,49,Female,Divorced,Yes
4117-0100-0000-0000,Elijah,Lee,$138.67 ,6,429,Addison,48,Female,Divorced,No
4874-4900-0000-0000,Amelia,Wilson,$532.37 ,10,800,Addison,58,Male,Divorced,Yes
4199-7100-0000-0000,Benjamin,Wilson,$172.57 ,9,725,Plano,33,Male,Divorced,No
4976-8800-0000-0000,Olivia,Williams,$81.91 ,8,653,Rockwall,59,Male,Divorced,Yes
4904-8700-0000-0000,Jackson,Garcia,$166.27 ,5,400,Farmers Branch,33,Female,Divorced,No
4744-5900-0000-0000,Ethan,Perez,$313.18 ,10,799,Dallas,47,Male,Divorced,Yes
6061-7742-6934-0880, James     , Dixon,$91.09 ,6,421,Dallas,38,Female,Married,Yes
1905-4967-7428-5620, Aiden     , Spencer,$187.76 ,4,367,Irving,38,F,Married,No
4036-8200-0000-0000,Alexander,Perez,$188.07 ,7,575,Farmers Branch,54,Female,Married,No
4038-3500-0000-0000,Jackson,Davis,$218.02 ,10,759,Irving,35,Male,Married,No
4988-5700-0000-0000,Charlotte,Garcia,$337.62 ,5,423,Dallas,36,Female,Married,Yes
4421-6400-0000-0000,Isabella,Perez,$127.91 ,6,463,McKinney,58,Male,Married,Yes
4743-9400-0000-0000,Liam,Gonzalez,$472.85 ,8,606,Irving,59,Male,Married,No
4129-7600-0000-0000,Harper,White,$180.43 ,10,735,Farmers Branch,34,Male,Married,No
4119-7200-0000-0000,Sophia,Martinez,$481.27 ,10,788,Dallas,58,Female,Married,No
4263-3400-0000-0000,Logan,Thomas,$323.56 ,9,694,Arlington,37,Male,Married,No
4254-8400-0000-0000,Alexander,Taylor,$346.04 ,10,779,Farmers Branch,53,Male,Married,Yes
4937-2100-0000-0000,Aiden,White,$201.87 ,8,608,Addison,45,Female,Single,No
4457-6300-0000-0000,Jackson,Wilson,$20.69 ,2,177,Arlington,50,Male,Single,Yes
4134-6300-0000-0000,John,Rodriguez,$629.82 ,9,708,Rockwall,46,Female,Single,Yes
4815-3600-0000-0000,Alexander,Lee,$339.28 ,9,698,Irving,34,Female,Single,Yes
4154-4600-0000-0000,Ethan,Wilson,$457.83 ,10,755,Dallas,35,Female,Single,No
4780-8100-0000-0000,John,Lewis,$206.16 ,9,717,Dallas,58,Female,Single,Yes
8607-9093-3800-5290, Julian     , Peterson,$92.19 ,4,348,Plano,46,F,Single ,Yes
4699-6247-2725-4900, Alexander , Crawford,$20.35 ,6,468,Farmer's Branch,39,F,Widowed,Yes
4903-8100-0000-0000,John,Wilson,$417.69 ,7,537,Dallas,49,Male,Widowed,No
4363-6300-0000-0000,John,Smith,$234.83 ,4,320,Dallas,48,Male,Widowed,Yes
4455-4100-0000-0000,Charlotte,Gonzalez,$50.16 ,2,159,Irving,38,Male,Widowed,Yes
4531-5500-0000-0000,Alexander,Hernandez,$263.42 ,10,772,Frisco,58,Male,Widowed,Yes
4821-3400-0000-0000,Logan,Gonzalez,$27.95 ,2,179,Addison,56,Female,Widowed,No
4286-5700-0000-0000,Harper,Lewis,$389.90 ,6,520,Farmers Branch,57,Female,Widowed,Yes
4326-1700-0000-0000,Elijah,Harris,$585.69 ,11,818,Farmers Branch,41,Female,Widowed,No
4142-8700-0000-0000,Aiden,Clark,$356.84 ,1,136,Plano,71,Male,Divorced,No
4219-5100-0000-0000,Michael,White,$308.19 ,2,194,Addison,75,Male,Divorced,No
4473-2600-0000-0000,Liam,Perez,$496.61 ,6,475,Irving,68,Male,Divorced,No
4769-6200-0000-0000,Isabella,Taylor,$636.19 ,7,532,Plano,61,Female,Divorced,Yes
4722-8500-0000-0000,Harper,Wilson,$517.05 ,2,235,Addison,71,Male,Divorced,Yes
4157-1000-0000-0000,Jackson,Gonzalez,$629.14 ,3,299,Farmers Branch,76,Male,Divorced,No
4835-2600-0000-0000,Ava,White,$484.23 ,4,341,Rockwall,61,Male,Divorced,No
4772-9400-0000-0000,Harper,Taylor,$468.57 ,4,325,Farmers Branch,70,Female,Divorced,No
4275-4700-0000-0000,Charlotte,Anderson,$573.78 ,3,298,Frisco,78,Male,Divorced,Yes
4773-2500-0000-0000,Ethan,Rodriguez,$663.57 ,6,466,Rockwall,73,Female,Divorced,No
4594-8300-0000-0000,Amelia,Williams,$398.07 ,4,285,Frisco,70,Male,Divorced,Yes
4521-5900-0000-0000,Charlotte,Gonzalez,$672.88 ,5,374,Frisco,71,Male,Divorced,Yes
4868-1500-0000-0000,Isabella,White,$311.41 ,3,215,Arlington,80,Female,Divorced,No
4038-7600-0000-0000,Jackson,Harris,$450.30 ,4,326,Frisco,77,Male,Married,No
4718-9400-0000-0000,Mia,Garcia,$698.10 ,5,378,Farmers Branch,66,Female,Married,No
4781-5800-0000-0000,Liam,Gonzalez,$527.47 ,4,281,Rockwall,76,Male,Married,Yes
4075-6200-0000-0000,Oliver,Harris,$634.29 ,4,324,Addison,62,Male,Married,Yes
4582-2100-0000-0000,Benjamin,Jones,$671.33 ,6,433,McKinney,74,Female,Married,Yes
4956-7000-0000-0000,Harper,Davis,$7.95 ,10,755,Plano,67,Male,Married,Yes
4071-1000-0000-0000,Lucas,Anderson,$692.82 ,9,639,Arlington,76,Male,Married,Yes
4427-9700-0000-0000,Amelia,Thomas,$505.48 ,2,147,Dallas,75,Male,Married,No
4978-4700-0000-0000,Oliver,Harris,$550.94 ,4,347,Frisco,71,Male,Married,No
4103-5200-0000-0000,Ethan,Davis,$697.76 ,5,411,Irving,61,Male,Married,No
4126-2800-0000-0000,Benjamin,Wilson,$633.93 ,6,486,Rockwall,63,Female,Married,No
4014-4300-0000-0000,Benjamin,Perez,$324.47 ,4,287,Irving,64,Male,Married,Yes
4545-4800-0000-0000,Mia,Thomas,$674.24 ,3,216,McKinney,61,Male,Single,Yes
4864-7500-0000-0000,Lucas,Smith,$651.92 ,5,405,Addison,72,Male,Single,Yes
4486-6200-0000-0000,Oliver,Rodriguez,$141.72 ,1,137,Addison,62,Female,Single,Yes
4027-4400-0000-0000,Liam,Taylor,$458.72 ,5,355,McKinney,74,Female,Single,No
4083-1700-0000-0000,Alexander,Lee,$661.78 ,8,579,Irving,69,Female,Single,Yes
4684-4000-0000-0000,John,Hernandez,$479.51 ,6,450,McKinney,63,Female,Single,Yes
4677-9700-0000-0000,Logan,Smith,$135.43 ,1,119,McKinney,69,Female,Single,No
4533-6400-0000-0000,Charlotte,Jones,$515.38 ,4,327,Frisco,76,Female,Single,No
4057-7700-0000-0000,Sophia,Taylor,$364.88 ,2,146,Irving,78,Female,Single,No
4206-4900-0000-0000,Benjamin,Wilson,$545.13 ,1,79,Plano,73,Female,Single,Yes
4187-9600-0000-0000,Mia,Harris,$520.28 ,2,191,McKinney,64,Female,Single,No
4103-8200-0000-0000,Lucas,Lewis,$670.95 ,1,168,Farmers Branch,80,Male,Single,Yes
4320-7000-0000-0000,Oliver,Martinez,$632.50 ,3,219,Addison,62,Male,Single,Yes
4744-7100-0000-0000,Jackson,Davis,$686.65 ,1,122,Plano,62,Female,Single,No
4551-4900-0000-0000,Benjamin,Smith,$609.96 ,5,366,Arlington,63,Female,Single,Yes
4371-9100-0000-0000,Lucas,Smith,$634.54 ,3,298,Frisco,64,Male,Single,Yes
4296-3900-0000-0000,Aiden,Anderson,$442.13 ,4,304,Dallas,76,Male,Single,Yes
4629-4100-0000-0000,Logan,Martinez,$648.55 ,4,281,Frisco,72,Female,Single,Yes
4291-7300-0000-0000,Elijah,Martinez,$612.42 ,6,511,Irving,71,Female,Single,Yes
4741-9500-0000-0000,Charlotte,White,$681.64 ,1,122,McKinney,64,Male,Single,Yes
4186-8300-0000-0000,Isabella,Garcia,$637.88 ,8,609,Addison,71,Female,Single,No
4553-0300-0000-0000,Ethan,Lee,$582.55 ,4,321,Irving,65,Female,Single,No
4903-0000-0000-0000,Aiden,Lee,$533.51 ,6,498,Arlington,75,Female,Single,Yes
4421-2696-6908-7110, Joseph     , Wright,$459.68 ,2,156,Plano,62,f,Single ,Yes
4396-1600-0000-0000,Aiden,Hernandez,$527.18 ,3,288,McKinney,80,Female,Widowed,Yes
4087-7400-0000-0000,Jackson,Perez,$442.09 ,3,232,Addison,64,Male,Widowed,No
4345-5800-0000-0000,Mia,Hernandez,$607.55 ,6,487,Rockwall,62,Female,Widowed,No
4834-4800-0000-0000,Benjamin,Jones,$524.56 ,5,387,Farmers Branch,66,Male,Widowed,Yes
4522-8200-0000-0000,Alexander,Lee,$679.80 ,5,389,Frisco,71,Female,Widowed,Yes
4725-7600-0000-0000,Alexander,Gonzalez,$253.90 ,2,188,Irving,78,Female,Widowed,No
4322-2200-0000-0000,Charlotte,Taylor,$461.36 ,6,458,Dallas,80,Male,Widowed,Yes
4526-0700-0000-0000,Amelia,Harris,$480.40 ,5,385,Addison,66,Male,Widowed,Yes
4831-7200-0000-0000,Charlotte,Clark,$677.37 ,4,354,Farmers Branch,63,Male,Widowed,No
4503-2900-0000-0000,Amelia,Taylor,$647.08 ,8,578,Plano,64,Female,Widowed,Yes
4114-2500-0000-0000,Sophia,Davis,$574.75 ,1,111,Frisco,74,Female,Widowed,No
4702-7100-0000-0000,Charlotte,Smith,$341.19 ,3,300,Frisco,64,Female,Widowed,Yes
4554-2800-0000-0000,Michael,Rodriguez,$397.91 ,4,304,Arlington,62,Male,Widowed,No
4489-3500-0000-0000,Mia,Harris,$636.39 ,3,298,Farmers Branch,69,Female,Widowed,No
4182-5800-0000-0000,Ethan,Garcia,$555.26 ,3,238,Dallas,99,Male,Divorced,No
4368-1600-0000-0000,Jackson,Anderson,$527.45 ,4,300,Farmers Branch,100,Male,Divorced,No
4668-3100-0000-0000,Alexander,Lee,$548.25 ,4,281,Arlington,100,Male,Divorced,No
4451-5900-0000-0000,Elijah,Harris,$225.52 ,2,208,Addison,85,Female,Divorced,Yes
4412-6300-0000-0000,Ava,Garcia,$657.67 ,1,139,Frisco,95,Male,Divorced,No
4887-7600-0000-0000,Olivia,Taylor,$431.53 ,1,72,Farmers Branch,85,Female,Divorced,Yes
4552-5100-0000-0000,Michael,Wilson,$103.69 ,1,82,Addison,100,Male,Divorced,Yes
4960-0400-0000-0000,Sophia,Davis,$275.66 ,1,142,Frisco,101,Male,Divorced,No
4341-5600-0000-0000,Mia,Lee,$562.41 ,6,474,Addison,86,Female,Divorced,Yes
4754-0100-0000-0000,Alexander,Hernandez,$406.06 ,3,221,Plano,96,Male,Divorced,No
4476-2000-0000-0000,Olivia,Anderson,$211.80 ,1,100,Dallas,83,Male,Divorced,No
4470-6500-0000-0000,Ethan,Hernandez,$523.48 ,5,431,McKinney,94,Female,Divorced,No
4121-3800-0000-0000,Jackson,Taylor,$591.01 ,8,591,Farmers Branch,83,Male,Divorced,Yes
4868-5200-0000-0000,Olivia,White,$647.71 ,1,80,Arlington,96,Male,Divorced,No
4246-7100-0000-0000,Oliver,Hernandez,$313.49 ,1,88,Arlington,84,Male,Divorced,Yes
4171-2400-0000-0000,Olivia,Martinez,$509.11 ,4,374,McKinney,89,Female,Divorced,No
4506-1000-0000-0000,Lucas,Taylor,$365.10 ,2,207,Dallas,98,Female,Married,No
4888-5200-0000-0000,Ethan,Taylor,$350.57 ,3,274,Arlington,88,Male,Married,No
4986-8700-0000-0000,Alexander,White,$603.26 ,6,437,Frisco,101,Female,Married,Yes
4335-7800-0000-0000,Alexander,Davis,$297.09 ,1,138,McKinney,101,Female,Married,No
4674-4600-0000-0000,Sophia,Harris,$526.86 ,4,313,Irving,101,Male,Married,Yes
4086-5300-0000-0000,Ethan,Williams,$315.58 ,2,181,Dallas,86,Female,Married,Yes
4475-7700-0000-0000,Oliver,Jones,$515.31 ,2,223,Irving,94,Female,Married,Yes
4782-6500-0000-0000,Olivia,Jones,$696.14 ,7,513,Frisco,81,Female,Married,No
4767-1800-0000-0000,Aiden,Martinez,$409.75 ,3,227,Rockwall,100,Male,Married,Yes
4296-2700-0000-0000,John,Anderson,$236.34 ,2,227,Rockwall,87,Male,Married,Yes
4129-1800-0000-0000,Olivia,Lee,$331.71 ,3,310,Frisco,93,Female,Married,No
4054-5300-0000-0000,Alexander,Harris,$179.98 ,1,113,McKinney,90,Female,Married,No
4126-5600-0000-0000,Harper,Perez,$427.03 ,1,147,Frisco,86,Male,Married,No
4177-2000-0000-0000,Lucas,Jones,$448.16 ,3,268,Rockwall,94,Male,Married,No
4949-1700-0000-0000,Isabella,Lee,$643.68 ,4,311,Arlington,91,Female,Married,No
4233-5800-0000-0000,Amelia,Thomas,$638.65 ,4,323,Farmers Branch,100,Male,Married,Yes
4162-3800-0000-0000,Isabella,Lewis,$433.17 ,4,357,Frisco,97,Female,Married,Yes
4260-3600-0000-0000,Logan,Clark,$680.40 ,4,369,Farmers Branch,88,Female,Married,Yes
4799-1300-0000-0000,Alexander,Martinez,$534.72 ,3,218,Frisco,88,Male,Married,Yes
4605-9200-0000-0000,Lucas,Hernandez,$554.81 ,4,315,Irving,87,Female,Married,Yes
4533-2100-0000-0000,Logan,Williams,$647.97 ,4,331,Irving,100,Female,Married,No
4693-7300-0000-0000,Aiden,Lee,$667.78 ,4,307,Irving,87,Male,Married,Yes
4915-2100-0000-0000,Liam,Lewis,$453.67 ,3,217,Frisco,93,Male,Married,Yes
4452-5500-0000-0000,Ava,Garcia,$478.30 ,3,227,Frisco,82,Male,Married,Yes
4085-6400-0000-0000,Charlotte,Thomas,$420.44 ,3,249,Dallas,82,Female,Married,Yes
4151-1400-0000-0000,Amelia,Gonzalez,$410.19 ,1,103,McKinney,82,Male,Single,Yes
4002-6900-0000-0000,Aiden,Davis,$492.85 ,5,420,Rockwall,101,Female,Single,No
4398-6300-0000-0000,Charlotte,Martinez,$672.08 ,3,304,Irving,89,Female,Single,Yes
4392-3300-0000-0000,Jackson,Jones,$2.60 ,9,682,McKinney,98,Male,Single,Yes
4938-6600-0000-0000,Elijah,Rodriguez,$633.72 ,2,219,Addison,85,Male,Single,Yes
4302-9700-0000-0000,Lucas,Perez,$676.99 ,8,621,Plano,83,Male,Single,Yes
4147-9100-0000-0000,Amelia,Gonzalez,$379.29 ,4,368,Dallas,96,Female,Single,Yes
4382-6400-0000-0000,Ethan,Rodriguez,$437.60 ,4,332,Dallas,84,Female,Single,No
4739-9600-0000-0000,Benjamin,Taylor,$235.82 ,2,187,McKinney,91,Female,Single,No
4491-3300-0000-0000,Sophia,Harris,$514.51 ,3,214,Addison,97,Male,Single,Yes
4282-8300-0000-0000,Charlotte,Davis,$522.81 ,3,245,Irving,86,Male,Single,Yes
4207-4100-0000-0000,Benjamin,Martinez,$555.29 ,2,203,McKinney,84,Male,Single,Yes
4254-9200-0000-0000,Oliver,Clark,$289.56 ,2,181,Rockwall,94,Female,Single,Yes
4189-0600-0000-0000,Amelia,Taylor,$519.20 ,4,317,Arlington,85,Male,Single,Yes
4723-0100-0000-0000,Olivia,Garcia,$543.93 ,7,513,Rockwall,96,Female,Single,Yes
4288-1800-0000-0000,Charlotte,Garcia,$531.96 ,3,296,Arlington,91,Male,Single,Yes
4232-2200-0000-0000,Harper,Thomas,$301.57 ,2,144,Dallas,88,Female,Single,No
4948-7300-0000-0000,Sophia,Wilson,$543.97 ,5,422,Rockwall,88,Male,Widowed,No
4190-2200-0000-0000,Liam,Anderson,$296.58 ,2,143,Farmers Branch,89,Female,Widowed,Yes
4465-5200-0000-0000,Isabella,Rodriguez,$507.42 ,6,470,Frisco,95,Female,Widowed,Yes
4786-8800-0000-0000,Aiden,Perez,$603.25 ,1,100,Arlington,94,Male,Widowed,No
4651-9300-0000-0000,Michael,Rodriguez,$491.06 ,3,279,Irving,92,Female,Widowed,No
4893-7900-0000-0000,Liam,Thomas,$651.38 ,2,198,Plano,87,Male,Widowed,Yes
4467-5900-0000-0000,Jackson,Smith,$622.03 ,6,425,Frisco,94,Female,Widowed,Yes
4588-0900-0000-0000,Mia,Williams,$689.09 ,2,209,Irving,94,Female,Widowed,Yes
4498-3600-0000-0000,Elijah,Harris,$441.04 ,3,220,Arlington,87,Female,Widowed,Yes
4454-6100-0000-0000,Sophia,Davis,$457.06 ,6,436,Dallas,92,Male,Widowed,Yes
4235-2500-0000-0000,Amelia,White,$562.20 ,5,399,Rockwall,87,Male,Widowed,No
4180-6100-0000-0000,Isabella,Rodriguez,$651.94 ,4,301,Arlington,88,Female,Widowed,Yes
4789-6600-0000-0000,Amelia,Lewis,$165.95 ,1,144,Irving,97,Female,Widowed,No
4252-4200-0000-0000,Logan,Wilson,$696.39 ,4,347,Frisco,19,Female,Divorced,No
4365-6300-0000-0000,Michael,Hernandez,$569.57 ,3,253,Plano,27,Male,Divorced,No
4687-2200-0000-0000,Ava,Clark,$568.85 ,2,166,Arlington,28,Male,Divorced,No
4916-2300-0000-0000,Jackson,Gonzalez,$369.78 ,4,340,Frisco,30,Female,Divorced,Yes
4530-3500-0000-0000,Oliver,Thomas,$111.77 ,1,104,McKinney,27,Female,Divorced,No
4124-8300-0000-0000,Benjamin,Smith,$610.93 ,2,204,Frisco,29,Male,Divorced,No
4308-3800-0000-0000,Charlotte,White,$545.43 ,4,363,Rockwall,24,Female,Divorced,Yes
4198-4500-0000-0000,Lucas,White,$678.65 ,3,289,Addison,18,Male,Divorced,No
4671-0200-0000-0000,Lucas,Harris,$670.43 ,3,236,Frisco,25,Male,Divorced,No
4921-6800-0000-0000,John,Clark,$411.71 ,3,302,Frisco,26,Female,Divorced,No
4537-4500-0000-0000,Ava,Martinez,$186.89 ,2,185,Irving,20,Male,Divorced,No
4450-3900-0000-0000,Alexander,Garcia,$522.38 ,2,161,Arlington,22,Male,Divorced,Yes
4096-3900-0000-0000,Isabella,Lewis,$528.95 ,2,240,Rockwall,28,Female,Divorced,No
4352-8900-0000-0000,Charlotte,Davis,$414.43 ,5,377,Frisco,20,Male,Divorced,Yes
4694-8300-0000-0000,Olivia,Thomas,$509.28 ,5,420,McKinney,20,Male,Divorced,No
4792-9800-0000-0000,Mia,Garcia,$302.66 ,1,95,Arlington,23,Male,Divorced,Yes
4991-8500-0000-0000,Amelia,Lee,$680.00 ,6,483,Rockwall,26,Female,Divorced,Yes
4665-4900-0000-0000,Harper,Williams,$452.46 ,5,434,Farmers Branch,23,Female,Married,No
